X,Y,ID,OBJECTID,TYPE,SOURCE,DATE_,CONTROL,LOCATION,COLOR,LADDER,Primary_St,Cross_Stre,CrossType,TOOLTIP
-118.414735068653698,34.019904888852075,17475,29825,1,1,,2,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.418922514319561,34.017698205639249,17476,29826,3,1,,2,315,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.418796144450212,34.017667763000425,17477,29827,3,1,,2,45,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.418825553925828,34.017575181656923,17478,29828,3,1,,2,135,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.41893962069706,34.017589257250627,17479,29829,3,1,,2,225,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.410968851395509,34.016683673966043,17480,29830,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.410810245712511,34.016538490927168,17481,29831,1,1,,1,90,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.410843481788447,34.016352986534073,17482,29832,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.410987400837158,34.016448722656527,17483,29833,1,1,,1,270,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.407092356373255,34.018859759576955,17484,29834,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.406843473187408,34.018772403462421,17485,29835,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.40685833609588,34.018556126058201,17486,29836,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.40709089993841,34.01863020620435,17487,29837,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.444947533446481,34.020155713949215,17488,29838,1,1,,1,0,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.444786887597346,34.020005921876908,17489,29839,1,1,,1,90,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.441083140197264,34.021635924484272,17490,29840,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.44088160584829,34.021587514433755,17491,29841,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.44097526068164,34.021401600480068,17492,29842,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.44112156802538,34.021468541292528,17493,29843,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.438749031131096,34.022797631841726,17494,29844,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.438520732995073,34.02275798877367,17495,29845,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.438587131705034,34.022592796489988,17496,29846,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
